Date,Event,Category,Description,Source
12-11-2015,OpenAI announced,Business/Tech,OpenAI publicly announced as nonprofit AI lab.,https://openai.com/index/introducing-openai/
10-14-2015,Tesla Autopilot v1 released,Business/Tech,Tesla rolls out first Autopilot features to customers.,https://www.tesla.com/blog
03-31-2016,Tesla Model 3 unveiled,Business,Model 3 reveal; hundreds of thousands of reservations follow.,https://abcnews.go.com/Technology/tesla-model-elon-musk-teases-details-pre-orders/story?id=38136528
06-21-2016,Neuralink incorporated,Business/Tech,Neuralink founded (incorporation date).,https://en.wikipedia.org/wiki/Neuralink
08-01-2016,SolarCity accepts Tesla offer,Business,SolarCity board accepts Tesla’s acquisition offer.,https://www.reuters.com/article/business/solarcity-accepts-teslas-26-billion-offer-both-shares-fall-idUSKCN10C26O/
11-17-2016,Tesla closes SolarCity acquisition,Business,Tesla completes ~$2B acquisition of SolarCity.,https://www.reuters.com/article/business/tesla-s-musk-closes-solarcity-deal-more-challenges-lie-ahead-idUSKBN13C2OJ/
12-17-2016,The Boring Company founded,Business/Infrastructure,Musk starts tunnel venture The Boring Company.,https://en.wikipedia.org/wiki/The_Boring_Company
07-28-2017,First Model 3 deliveries,Business,Tesla hands over first 30 Model 3 cars.,https://www.reuters.com/article/business/teslas-musk-hands-over-first-model-3-electric-cars-to-early-buyers-idUSKBN1AE04L/
11-16-2017,Tesla Semi & new Roadster unveiled,Business,Tesla debuts electric semi-truck and next-gen Roadster.,https://www.reuters.com
02-06-2018,Falcon Heavy maiden flight,Business/Space,First Falcon Heavy launch; Tesla Roadster as dummy payload.,https://www.nasa.gov/history/5-years-ago-first-flight-of-the-falcon-heavy-rocket/
08-07-2018,“Funding secured” tweet,Controversy/Business,Tweets intent to take Tesla private at $420; sparks SEC action.,https://www.reuters.com
09-29-2018,SEC settlement with Musk,Legal/Business,"Musk agrees to step down as Tesla chair, pay $20M fine.",https://www.reuters.com
05-23-2019,First Starlink launch,Business/Space,SpaceX launches first 60 Starlink satellites.,https://www.reuters.com/world/first-satellites-for-musks-starlink-internet-venture-launched-into-orbit-idUSKCN1SU07Y/
11-21-2019,Cybertruck unveiled,Business,Tesla unveils Cybertruck; window demo mishap goes viral.,https://www.reuters.com
12-06-2019,Wins Thai cave diver defamation case,Legal/Controversy,Jury finds Musk not liable in ‘pedo guy’ defamation suit.,https://www.reuters.com/article/technology/tesla-boss-elon-musk-wins-defamation-trial-over-his-pedo-guy-tweet-idUSKBN1YA13S/
04-29-2020,COVID-19 lockdown criticism,Social/Political,Calls lockdowns 'fascist' during Tesla earnings call.,https://www.reuters.com
12-21-2020,Tesla added to S&P 500,Business,Tesla joins the S&P 500 index.,https://www.reuters.com
02-08-2021,Tesla buys $1.5B in Bitcoin,Business/Finance,SEC filing reveals Tesla cryptocurrency purchase.,https://www.reuters.com
05-08-2021,Hosts Saturday Night Live,Social/Media,"Musk hosts SNL, boosting public profile and Dogecoin chatter.",https://www.cnbc.com
09-15-2021,Inspiration4 mission launched,Business/Space,First all-civilian orbital mission by SpaceX.,https://www.reuters.com
10-07-2021,Tesla HQ move to Texas announced,Business,Musk says Tesla is moving HQ from California to Texas.,https://www.reuters.com
04-14-2022,Twitter acquisition offer,Business/Social,Musk offers to buy Twitter for ~$44B.,https://en.wikipedia.org/wiki/Acquisition_of_Twitter_by_Elon_Musk
04-25-2022,Twitter board accepts deal,Business/Social,Twitter accepts Musk’s $44B offer.,https://en.wikipedia.org/wiki/Acquisition_of_Twitter_by_Elon_Musk
07-08-2022,Moves to terminate Twitter deal,Legal/Business,Musk seeks to back out of acquisition; legal battle ensues.,https://en.wikipedia.org/wiki/Acquisition_of_Twitter_by_Elon_Musk
10-27-2022,Closes Twitter acquisition,Business/Social,Deal closes; Musk takes control of Twitter.,https://www.reuters.com/markets/deals/elon-musk-completes-44-bln-acquisition-twitter-2022-10-28/
11-04-2022,Twitter mass layoffs,Business/Controversy,X/Twitter cuts roughly half of staff.,https://www.reuters.com
12-15-2022,Suspends several journalists,Controversy/Political,X/Twitter suspends reporters covering Musk.,https://www.reuters.com
12-01-2022,Tesla Semi first deliveries,Business,First Tesla Semi trucks delivered to PepsiCo.,https://www.reuters.com
04-20-2023,Starship first integrated flight,Business/Space,First Starship test flight; vehicle lost after liftoff.,https://www.reuters.com
07-12-2023,xAI announced,Business/Tech,Musk launches xAI to build AGI-aligned systems.,https://www.reuters.com
07-23-2023,Twitter rebrand to X announced,Business/Social,Musk signals rebrand from Twitter to X.,https://www.reuters.com/technology/elon-musk-says-twitter-change-logo-adieu-all-birds-2023-07-23/
07-24-2023,X logo goes live,Business/Social,The blue bird is replaced by the X logo.,https://www.reuters.com/technology/bird-has-flown-musk-twitter-ceo-yaccarino-say-x-logo-is-here-2023-07-24/
11-18-2023,Starship second test flight,Business/Space,Second Starship test; stages separate; vehicle lost later.,https://www.reuters.com
11-04-2023,xAI unveils Grok,Business/Tech,xAI announces Grok chatbot integrated with X.,https://x.ai
11-20-2023,Major advertisers pause on X,Business/Controversy,Brands pause ads amid content moderation concerns.,https://www.reuters.com
11-30-2023,First Cybertruck deliveries,Business,Tesla delivers first Cybertrucks at Texas event.,https://www.reuters.com
01-30-2024,Delaware court voids Tesla $56B pay,Legal/Business,Chancery Court strikes down Musk’s 2018 compensation plan.,https://www.reuters.com
03-14-2024,Starship third flight (IFT-3),Business/Space,Starship achieves more milestones; reentry loss.,https://www.reuters.com
